Artists,Set Name,Type,Stage,Date,Start Time,End Time,Description
Culprate,,music,,,,,
Mattura,,music,,,,,
DJ Sprite,,music,,,,,
Gon Ben Ari,Gon Ben Ari Trio Band,music,,,,,Hosting Salome & Nimshi
Bliss,Bliss in Bass,music,,,,,
Mantismash,,music,,,,,
Nueq,,music,,,,,
Cutterpiller,,music,,,,,
Light Child Project,,music,,,,,
Basher Toe,,music,,,,,
Yūgen,,music,,,,,
Soru,,music,,,,,
Gaia,,music,,,,,
Essence Project,,music,,,,,
Dosh,Dosh Live,music,,,,,Live
Stulip,,music,,,,,
Caved,,music,,,,,
Aquiver,,music,,,,,
Doobo,,music,,,,,
Netta Zeevy,,music,,,,,
Digressio,,music,,,,,
Sushi,,music,,,,,
Omerik,,music,,,,,
Terma,,music,,,,,
Lily,,music,,,,,
Hecha,,music,,,,,
Katnoa,,music,,,,,
Tomik,,music,,,,,
Bells,,music,,,,,
BZB,,music,,,,,
Lostbyte,,music,,,,,
Oatmilk,,music,,,,,
Lucyd,,music,,,,,
Gana Eden,,music,,,,,
Mayul,,music,,,,,
Mendi,Mendi Live,music,,,,,Live
Wöllner,Wöllner Live,music,,,,,Live
Miri & Bass On,,music,,,,,Wedding set
Nishant,,music,,,,,
U-V,,music,,,,,
Zoja,,music,,,,,
Hametz,,music,,,,,
Wildchild,,music,,,,,
Raja Nadi,,music,,,,,
Yūgen,Headbang Session by Yūgen,music,,,,,
Stulip,Pop Culture by Stulip,music,,,,,
Dima XR,Karaoke Taverna by Dima XR,music,,,,,
Daniel Philosoph,,performance,,,,,Live Art
Noa Afriat,,performance,,,,,Live Art
Vika Gorelik,,performance,,,,,Live Art
Sabress,,performance,,,,,Live Art
Ulien,,performance,,,,,Live Art
Borix,,performance,,,,,Live Art
Boaz Philosoph,,performance,,,,,Live Art
Maya Sierra,,performance,,,,,Live Art
