Artists,Set Name,Stage,Date,Start Time,End Time,Description,Type
Nadav Dagon | Amana Women,Nadav Dagon ft. Amana Women,Main Stage,2026-09-24,19:00,20:00,,music
Daskal | Assaf Amdurski,Daskal ft. Assaf Amdurski,Main Stage,2026-09-24,20:00,21:00,,music
Knesiyat Hasechel | Eitan Reiter,כנסיית השכל & איתן רייטר,Main Stage,2026-09-24,21:00,22:00,,music
Infected Mushroom,,Main Stage,2026-09-24,22:00,01:00,3 Hour Live Band Show,music
Amigdala,,Main Stage,2026-09-25,12:00,14:00,,music
Shtuby,,Main Stage,2026-09-25,14:00,16:00,,music
Dekel,,Main Stage,2026-09-25,16:00,18:00,,music
Eitan Reiter,,Main Stage,2026-09-25,18:00,20:00,Live,music
Freedom Fighters,,Main Stage,2026-09-25,20:00,21:30,,music
Pettra,,Main Stage,2026-09-25,21:30,23:00,,music
Blastoyz,,Main Stage,2026-09-25,23:00,00:30,,music
Bliss,,Main Stage,2026-09-26,00:30,02:00,,music
Infected Mushroom,,Main Stage,2026-09-26,05:00,08:00,3 Hours Live Retro Set,music
Oi,,Ursul Records Stage,2026-09-24,22:00,23:30,(Omer Inbar) Opening Ceremony,music
K.O,,Ursul Records Stage,2026-09-24,23:30,01:00,,music
Millero,,Ursul Records Stage,2026-09-25,01:00,02:30,,music
Rebrn,,Ursul Records Stage,2026-09-25,02:30,04:00,,music
Dodi,,Ursul Records Stage,2026-09-25,10:00,11:00,,music
Ben Lipshitz,,Ursul Records Stage,2026-09-25,11:00,12:00,,music
Maayan Rahamim | Miss Albi,Maayan Rahamim B2B Miss Albi,Ursul Records Stage,2026-09-25,12:00,13:30,,music
Itayga,,Ursul Records Stage,2026-09-25,13:30,15:00,,music
Noya,,Ursul Records Stage,2026-09-25,15:00,16:30,,music
Sharon Attar,,Ursul Records Stage,2026-09-25,16:30,18:00,,music
T-Puse,,Ursul Records Stage,2026-09-25,18:00,19:30,,music
Mishell,,Ursul Records Stage,2026-09-25,19:30,21:00,,music
Clüb De Combat,,Ursul Records Stage,2026-09-25,21:00,22:30,,music
Omer Keinan,,Ursul Records Stage,2026-09-25,22:30,00:30,,music
Yannik Müller,,Ursul Records Stage,2026-09-26,00:30,02:00,,music
T-Puse | Omer Keinan,T-Puse B2B Omer Keinan,Ursul Records Stage,2026-09-26,02:00,04:00,Ursul Records,music
Argaman,,Fusion Culture Stage,2026-09-24,17:00,19:00,,music
Cutterpiller,,Fusion Culture Stage,2026-09-25,01:00,03:00,Israeli Remixes,music
Mendi,,Fusion Culture Stage,2026-09-25,08:00,09:30,Live,music
Shell-E,,Fusion Culture Stage,2026-09-25,09:30,11:00,,music
Essence Project,,Fusion Culture Stage,2026-09-25,11:00,12:30,,music
Doobo | Sushi,Doobo B2B Sushi,Fusion Culture Stage,2026-09-25,12:30,14:00,,music
Tomik | Leto CC,Tomik B2B Leto CC,Fusion Culture Stage,2026-09-25,14:00,15:30,,music
Yūgen,,Fusion Culture Stage,2026-09-25,15:00,17:00,,music
Dosh,,Fusion Culture Stage,2026-09-25,17:00,18:30,Live,music
Shtuby,,Fusion Culture Stage,2026-09-25,18:30,20:00,Downtempo,music
Mantismash,,Fusion Culture Stage,2026-09-25,20:00,21:30,,music
Bayawaka,,Fusion Culture Stage,2026-09-25,21:30,23:00,,music
Nueq,,Fusion Culture Stage,2026-09-25,23:00,00:30,,music
Symbolico,,Fusion Culture Stage,2026-09-26,00:30,02:00,,music
Cutterpiller,,Fusion Culture Stage,2026-09-26,02:00,03:30,,music
Stulip | Katnoa,Stulip B2B Katnoa,Fusion Culture Stage,2026-09-26,03:30,05:00,,music
Sunset Riders,,Pulse Stage by Tuborg,2026-09-24,18:00,19:30,,music
Duskii,,Pulse Stage by Tuborg,2026-09-24,19:30,20:30,,music
Mementomor,,Pulse Stage by Tuborg,2026-09-25,00:00,01:00,,music
Broosh,,Pulse Stage by Tuborg,2026-09-25,01:00,02:00,,music
Libaax,,Pulse Stage by Tuborg,2026-09-25,02:00,03:00,,music
Gigi,,Pulse Stage by Tuborg,2026-09-25,03:00,04:00,,music
Ranyo,,Pulse Stage by Tuborg,2026-09-25,10:00,11:00,,music
Nevo,,Pulse Stage by Tuborg,2026-09-25,11:00,12:00,,music
Eukai,,Pulse Stage by Tuborg,2026-09-25,12:00,13:00,,music
Chuka,,Pulse Stage by Tuborg,2026-09-25,13:00,14:00,,music
Adiros,,Pulse Stage by Tuborg,2026-09-25,14:00,15:00,,music
Yoti,,Pulse Stage by Tuborg,2026-09-25,15:00,16:00,,music
Chemical Drive,,Pulse Stage by Tuborg,2026-09-25,16:00,17:00,,music
Artifex,,Pulse Stage by Tuborg,2026-09-25,17:00,18:00,,music
Moosh On,,Pulse Stage by Tuborg,2026-09-25,18:00,19:30,,music
Haymus,,Pulse Stage by Tuborg,2026-09-25,19:30,21:00,,music
Tetrakørd,,Pulse Stage by Tuborg,2026-09-25,21:00,23:00,,music
Indepth,,Pulse Stage by Tuborg,2026-09-25,23:00,01:00,,music
Fvmestic,,Pulse Stage by Tuborg,2026-09-26,01:00,02:00,,music
Detune,,Pulse Stage by Tuborg,2026-09-26,02:00,03:00,,music
Multiverse,,Pulse Stage by Tuborg,2026-09-26,03:00,04:00,,music
The Rabbit Hole,,Pulse Stage by Tuborg,2026-09-26,04:00,05:00,,music
