Artists,Set Name,Type,Stage,Date,Start Time,End Time,Description
Thatha,,music,Dancefloor,2026-09-02,17:00,19:00,
Earthling,,music,Dancefloor,2026-09-02,19:00,20:30,
Lucas,,music,Dancefloor,2026-09-02,20:30,22:00,
Mandelbrot,,music,Dancefloor,2026-09-02,22:00,23:00,
Lunatica,,music,Dancefloor,2026-09-02,23:00,00:30,
Zeridium,,music,Dancefloor,2026-09-03,00:30,02:00,
Atbloom,,music,Dancefloor,2026-09-03,02:00,03:30,
Rajax,,music,Dancefloor,2026-09-03,03:30,05:00,
Originz,,music,Dancefloor,2026-09-03,05:00,07:00,
Kulle,,music,Dancefloor,2026-09-03,11:00,12:30,
Ikøn,,music,Dancefloor,2026-09-03,12:30,14:00,
Emok,,music,Dancefloor,2026-09-03,14:00,16:00,
Critical Choice,,music,Dancefloor,2026-09-03,16:00,17:00,
Ticon,,music,Dancefloor,2026-09-03,17:00,18:30,
Groundbass,,music,Dancefloor,2026-09-03,18:30,20:00,
Yestermorrow,,music,Dancefloor,2026-09-03,20:00,21:30,
Delysid,,music,Dancefloor,2026-09-03,21:30,23:00,
Rinkadink,,music,Dancefloor,2026-09-03,23:00,00:30,
Aardvaak,,music,Dancefloor,2026-09-04,00:30,02:00,
Iamai,,music,Dancefloor,2026-09-04,02:00,04:00,
Daksinamurti,,music,Dancefloor,2026-09-04,04:00,05:30,
Ananga Ranga,,music,Dancefloor,2026-09-04,05:30,07:00,
Chaac,,music,Dancefloor,2026-09-04,11:00,12:30,
Zyce,,music,Dancefloor,2026-09-04,12:30,14:00,
Ectima,,music,Dancefloor,2026-09-04,14:00,15:30,
Tetrameth,,music,Dancefloor,2026-09-04,15:30,17:00,
Sphera,,music,Dancefloor,2026-09-04,17:00,18:30,
Perfect Stranger,,music,Dancefloor,2026-09-04,18:30,20:30,
Modus,,music,Dancefloor,2026-09-04,20:30,22:00,
Uncharted Territory,,music,Dancefloor,2026-09-04,22:00,23:30,
Pepe's Bodega,,music,Dancefloor,2026-09-04,23:30,01:00,
Render,,music,Dancefloor,2026-09-05,01:00,02:30,
Electrypnose,,music,Dancefloor,2026-09-05,02:30,04:30,
Psynonima,,music,Dancefloor,2026-09-05,04:30,06:00,
Ametrina,,music,Dancefloor,2026-09-05,06:00,07:30,
Dazzle Beat|Tinker,Dazzle Beat & Tinker,music,Dancefloor,2026-09-05,11:00,12:30,
Egorythmia,,music,Dancefloor,2026-09-05,12:30,14:30,
Flegma,,music,Dancefloor,2026-09-05,14:30,16:00,
Altruism,,music,Dancefloor,2026-09-05,16:00,17:30,
Regan,,music,Dancefloor,2026-09-05,17:30,19:30,
Burn in Noise,,music,Dancefloor,2026-09-05,19:30,21:00,
Magik,,music,Dancefloor,2026-09-05,21:00,22:30,
